station,address1,address2,Latitude,Longitude
Addison Road-Seat Pleasant,100 Addison Road S.,"Capitol Heights, MD 20743",38.885891,-76.896277
Anacostia,1101 Howard Road SE,"Washington, DC 20020",38.8640471,-76.997488
Archives-Navy Memorial-Penn Quarter,701 Pennsylvania Avenue NW,"Washington, DC 20004",38.8944082,-77.0224615
Arlington Cemetery,1000 North Memorial Drive,"Arlington, VA 22211",38.883763,-77.065333
Ballston-MU,4230 Fairfax Drive,"Arlington, VA 22201",38.8819639,-77.1114771
Benning Road,4500 Benning Road,"Washington, DC 20019",38.8902209,-76.937461
Bethesda,7450 Wisconsin Avenue,"Bethesda, MD 20814",38.9843951,-77.0958437
Braddock Road,700 N. West St.,"Alexandria, VA 22301",38.8140654,-77.0533797
Branch Ave,4704 Old Soper Road,"Suitland, MD 20746",38.826975,-76.9115549
Brookland-CUA,801 Michigan Avenue NE,"Washington, DC 20017",38.9338411,-76.9945431
Capitol Heights,133 Central Avenue,"Capitol Heights, MD 20743",38.8877333,-76.8825869
Capitol South,355 First Street SE,"Washington, DC 20003",38.8851741,-77.0061541
Cheverly,5501 Columbia Park,"Cheverly, MD 20785",38.9173833,-76.9153204
Clarendon,3100 Wilson Blvd,"Arlington, VA 22201",38.8871613,-77.0951413
Cleveland Park,3599 Connecticut Avenue NW,"Washington, DC 20008",38.9360156,-77.0588126
College Park-U of MD,4931 Calvert Road,"College Park, MD 20740",38.9781964,-76.9291065
Columbia Heights,3030 14th St. NW,"Washington, DC 20009",38.9286037,-77.032941
Congress Heights,1290 Alabama Avenue SE,"Washington, DC 20020",38.8448877,-76.9880934
Court House,2100 Wilson Blvd,"Arlington, VA 22201",38.8915397,-77.0848727
Crystal City,1750 South Clark St.,"Arlington, VA 22202",38.8580608,-77.0516414
Deanwood,4720 Minnesota Avenue NE,"Washington, DC 20019",38.907624,-76.935148
Dunn Loring-Merrifield,2700 Gallows Road,"Vienna, VA 22180",38.8823592,-77.2298516
Dupont Circle,1525 20th St. NW,"Washington, DC 20036",38.9110364,-77.0448991
East Falls Church,2001 N. Sycamore St.,"Arlington, VA 22205",38.8854669,-77.1563384
Eastern Market,701 Pennsylvania Avenue SE,"Washington, DC 20003",38.8842518,-76.9958105
Eisenhower Avenue,2400 Eisenhower Avenue,"Alexandria, VA 22314",38.8010982,-77.0708318
Farragut North,1001 Connecticut Avenue NW,"Washington, DC 20036",38.9027369,-77.0388811
Farragut West,900 18th St. NW,"Washington, DC 20006",38.901438,-77.0419007
Federal Center SW,401 3rd Street SW,"Washington, DC 20024",38.8845796,-77.015625
Federal Triangle,302 12th St. NW,"Washington, DC 20004",38.8936604,-77.0279673
Foggy Bottom-GWU,2301 I St. NW,"Washington, DC 20037",38.9011678,-77.0505234
Forest Glen,9730 Georgia Avenue,"Forest Glen, MD 20910",39.0151647,-77.0426588
Fort Totten,550 Galloway Street NE,"Washington, DC 20011",38.952534,-76.999462
Franconia-Springfield,6880 Frontier Drive,"Springfield, VA 22150",38.7663319,-77.1684111
Friendship Heights,5337 Wisconsin Avenue NW,"Washington, DC 20015",38.9608464,-77.085716
Gallery Pl-Chinatown,630 H St. NW,"Washington, DC 20001",38.8998159,-77.0207781
Georgia Ave-Petworth,3700 Georgia Avenue NW,"Washington, DC 20010",38.9373016,-77.0246266
Glenmont,12501 Georgia Avenue,"Silver Spring, MD 20906",39.062686,-77.052171
Greenbelt,5717 Greenbelt Metro Drive,"Greenbelt, MD 20740",39.0107392,-76.9081914
Greensboro,8305 Leesburg Pike,"Vienna, VA 22182",38.9498352,-77.2623284
Grosvenor-Strathmore,10300 Rockville Pike,"Bethesda, MD 20852",39.026003,-77.1043574
Huntington,2501 Huntington Ave,"Huntington, VA 22303",38.7961098,-77.0749067
Judiciary Square,450 F Street NW,"Washington, DC 20001",38.8969442,-77.0175947
King St-Old Town,1900 King Street,"Alexandria, VA 22301",38.8073446,-77.0597188
Landover,3000 Pennsy Drive,"Hyattsville, MD 20785",38.931831,-76.891105
Largo Town Center,9000 Lottsford Road,"Largo, MD 20774",38.900421,-76.842408
L'Enfant Plaza,600 Maryland Avenue SW,"Washington, DC 20024",38.8864572,-77.0204508
McLean,1824 Dolley Madison Boulevard,"McLean, VA 22102",38.924416,-77.2103393
McPherson Square,1400 I St. NW,"Washington, DC 20005",38.9010411,-77.0322645
Medical Center,8810 Rockville Pike,"Bethesda, MD 20814",38.9996585,-77.0970022
Metro Center,607 13th St. NW,"Washington, DC 20005",38.8978402,-77.0290585
Minnesota Ave,4000 Minnesota Avenue NE,"Washington, DC 20019",38.8951987,-76.9490924
Morgan Boulevard,300 Garrett Morgan Blvd.,"Landover, MD 20785",38.8950326,-76.8660473
Mt Vernon Sq 7th St-Convention Center,700 M St. NW,"Washington, DC 20001",38.9056285,-77.0219317
Navy Yard-Ballpark,200 M Street SE,"Washington, DC 20003",38.8768225,-77.0032262
Naylor Road,3101 Branch Avenue,"Temple Hills, MD 20748",38.8513634,-76.9563576
New Carrollton,4700 Garden City Drive,"New Carrollton, MD 20784",38.9469771,-76.8724108
NoMa-Gallaudet U,200 Florida Ave N.E.,"Washington, DC 20002",38.907317,-77.003294
Pentagon,2 South Rotary Road,"Arlington, VA 22202",38.8709873,-77.0559517
Pentagon City,1250 South Hayes St.,"Arlington, VA 22202",38.8630559,-77.0601093
Potomac Ave,700 14th Street SE,"Washington, DC 20003",38.8812619,-76.9855129
Prince George's Plaza,3575 East West Highway,"Hyattsville, MD 20782",38.9661738,-76.9565782
Rhode Island Ave-Brentwood,919 Rhode Island Avenue NE,"Washington, DC 20018",38.922122,-76.9932277
Rockville,251 Hungerford Drive,"Rockville, MD 20850",39.0988089,-77.1541325
Ronald Reagan Washington National Airport,2400 S. Smith Blvd.,"Arlington, VA 22202",38.8516517,-77.0433099
Rosslyn,1850 N. Moore Street,"Arlington, VA 22209",38.896854,-77.071978
Shady Grove,15903 Somerville Drive,"Rockville, MD 20855",39.1201189,-77.1665978
Shaw-Howard U,1701 8th St. NW,"Washington, DC 20001",38.9127996,-77.022632
Silver Spring,8400 Colesville Road,"Silver Spring, MD 20910",38.9935584,-77.0322008
Smithsonian,1200 Independence Avenue SW,"Washington, DC 20004",38.8875558,-77.0287341
Southern Avenue,1411 Southern Avenue,"Temple Hills, MD 20748",38.8355583,-76.9828834
Spring Hill,1576 Spring Hill Road,"Vienna, VA 22182",38.9288939,-77.2416271
Stadium-Armory,192 19th St. SE,"Washington, DC 20003",38.8885781,-76.9753542
Suitland,4500 Silver Hill Road,"Suitland, MD 20746",38.8450533,-76.930605
Takoma,327 Cedar Street NW,"Washington, DC 20012",38.9754337,-77.0178004
Tenleytown-AU,4501 Wisconsin Avenue NW,"Washington, DC 20016",38.9481993,-77.0794253
Twinbrook,1600 Chapman Avenue,"Rockville, MD 20852",39.0626821,-77.1223579
Tysons Corner,1943 Chain Bridge Road,"McLean, VA 22102",38.9200554,-77.2233136
U Street/African-Amer Civil War Memorial/Cardozo,1240 U Street NW,"Washington, DC 20009",38.9169864,-77.0289687
Union Station,701 First St. NE,"Washington, DC 20002",38.8981873,-77.0068546
Van Dorn Street,5690 Eisenhower Avenue,"Alexandria, VA 22310",38.7992586,-77.1305973
Van Ness-UDC,4200 Connecticut Avenue NW,"Washington, DC 20008",38.9444929,-77.0653829
Vienna/Fairfax-GMU,9550 Saintsbury Drive,"Fairfax, VA 22031",38.8767035,-77.2733069
Virginia Square-GMU,3600 Fairfax Drive,"Arlington, VA 22201",38.882807,-77.103523
Waterfront,399 M Street SW,"Washington, DC 20024",38.8768228,-77.0163102
West Falls Church-VT/UVA,7040 Haycock Road,"Falls Church, VA 22043",38.89964,-77.187454
West Hyattsville,2700 Hamilton St.,"Hyattsville, MD 20782",38.955273,-76.969497
Wheaton,11171 Georgia Avenue,"Silver Spring, MD 20902",39.0382088,-77.0506252
White Flint,5500 Marinelli Road,"Rockville, MD 20852",39.0475901,-77.1126142
Wiehle-Reston East,1862 Wiehle Avenue,"Reston, VA 20190",38.9476985,-77.3398934
Woodley Park-Zoo/Adams Morgan,"2700 Connecticut Ave., NW","Washington, DC 20008",38.925949,-77.053365
