SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-28-2017,Condo/Co-op,3001 Veazey Ter NW #1205,Washington,DC,20008,300000,1,1.0,Forest Hills,978,,1967,82,307,712,Sold,,,http://www.redfin.com/DC/Washington/3001-Veazey-Ter-NW-20008/unit-1205/home/143027112,MRIS,DC10017813,N,Y,38.9449287,-77.0618546
PAST SALE,July-28-2017,Condo/Co-op,1207 N St NW Unit G,Washington,DC,20005,504000,1,1.0,Old City #2,771,,1989,82,654,314,Sold,,,http://www.redfin.com/DC/Washington/1207-N-St-NW-20005/unit-G/home/9874697,MRIS,DC9981518,N,Y,38.9072421,-77.0286554
PAST SALE,July-24-2017,Condo/Co-op,915 E St NW #1009,Washington,DC,20004,487500,1,1.0,Gallery Place,852,,2006,86,572,605,Sold,,,http://www.redfin.com/DC/Washington/915-E-St-NW-20004/unit-1009/home/21646905,MRIS,DC9957813,N,Y,38.8964898,-77.0250247
PAST SALE,September-15-2017,Condo/Co-op,929 Florida Ave NW #4001,Washington,DC,20001,515000,1,1.0,Columbia Heights/u St,880,,2006,33,585,448,Sold,,,http://www.redfin.com/DC/Washington/929-Florida-Ave-NW-20001/unit-4001/home/21644110,MRIS,DC10003252,N,Y,38.918672,-77.0242293
PAST SALE,,Condo/Co-op,355 I St SW Unit S518,Washington,DC,20024,399900,1,1.0,,667,,2005,,600,,,,,http://www.redfin.com/DC/Washington/355-I-St-SW-20024/unit-S518/home/10348668,,,N,Y,38.8798038,-77.0165648
PAST SALE,October-13-2017,Condo/Co-op,3001 Veazey Ter NW #603,Washington,DC,20008,284000,1,1.0,Forest Hills,1070,,1900,5,265,764,Sold,,,http://www.redfin.com/DC/Washington/3001-Veazey-Ter-NW-20008/unit-603/home/21958398,MRIS,DC10034356,N,Y,38.9449287,-77.0618546
PAST SALE,September-11-2017,Condo/Co-op,1451 Belmont St NW #305,Washington,DC,20009,597500,1,2.0,Columbia Heights,852,,2006,37,701,450,Sold,,,http://www.redfin.com/DC/Washington/1451-Belmont-St-NW-20009/unit-000305/home/11747756,MRIS,DC9997111,N,Y,38.9207268,-77.0339589
PAST SALE,August-23-2017,Condo/Co-op,3114 Wisconsin Ave NW #404,Washington,DC,20016,325000,1,1.0,Cleveland Park,750,,1964,56,433,574,Sold,,,http://www.redfin.com/DC/Washington/3114-Wisconsin-Ave-NW-20016/unit-404/home/135970530,MRIS,DC9990765,N,Y,38.930931,-77.073144
PAST SALE,August-25-2017,Condo/Co-op,4201 Cathedral Ave NW Unit 607W,Washington,DC,20016,255000,1,1.0,Wesley Heights,888,,1960,54,287,805,Sold,,,http://www.redfin.com/DC/Washington/4201-Cathedral-Ave-NW-20016/unit-607W/home/9952482,MRIS,DC10014696,N,Y,38.9311323,-77.0837882
PAST SALE,August-15-2017,Condo/Co-op,1390 V St NW #501,Washington,DC,20009,479000,1,1.0,Old City #2,767,,2005,64,625,406,Sold,,,http://www.redfin.com/DC/Washington/1390-V-St-NW-20009/unit-501/home/10192467,MRIS,DC9946761,N,Y,38.9179539,-77.0315043
PAST SALE,August-1-2017,Condo/Co-op,715 6th St NW #401,Washington,DC,20001,520000,1,1.0,Penn Quarter,846,,2005,78,615,476,Sold,,,http://www.redfin.com/DC/Washington/715-6th-St-NW-20001/unit-401/home/10193570,MRIS,DC9969960,N,Y,38.8988144,-77.0195236
PAST SALE,,Condo/Co-op,2425 L St NW Apt 709,Washington,DC,20037,633000,1,1.5,,810,,2006,,781,,,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-709/home/11745737,,,N,Y,38.9041982,-77.0523516
PAST SALE,August-29-2017,Condo/Co-op,1245 4th St SW Unit E-400,Washington,DC,20024,299900,1,1.0,Rla (sw),836,,1964,50,359,843,Sold,,,http://www.redfin.com/DC/Washington/1245-4th-St-SW-20024/unit-E400/home/52370601,MRIS,DC9900147,N,Y,38.8753747,-77.0181022
PAST SALE,August-14-2017,Condo/Co-op,1000 New Jersey Ave SE #301,Washington,DC,20003,335000,1,1.0,Old City #1,760,,2006,65,441,954,Sold,,,http://www.redfin.com/DC/Washington/1000-New-Jersey-Ave-SE-20003/unit-301/home/12449643,MRIS,DC9989535,N,Y,38.8780119,-77.0042672
