SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-18-2017,Condo/Co-op,2006 Columbia Rd NW #8,Washington,DC,20009,635000,2,1.0,Kalorama,1230,,1905,61,516,429,Sold,,,http://www.redfin.com/DC/Washington/2006-Columbia-Rd-NW-20009/unit-8/home/9999736,MRIS,DC10015812,N,Y,38.9175659,-77.0452689
PAST SALE,August-15-2017,Condo/Co-op,1313 Vermont Ave NW #13,Washington,DC,20005,700000,2,2.0,Old City #2,1221,,1980,64,573,511,Sold,,,http://www.redfin.com/DC/Washington/1313-Vermont-Ave-NW-20005/unit-13/home/9872759,MRIS,DC9963631,N,Y,38.9077885,-77.0302729
PAST SALE,September-25-2017,Condo/Co-op,1501 Swann St NW Unit B,Washington,DC,20009,815000,2,2.0,Dupont,1044,,1991,23,781,212,Sold,,,http://www.redfin.com/DC/Washington/1501-Swann-St-NW-20009/unit-B/home/9868152,MRIS,DC10039223,N,Y,38.9149588,-77.0351675
PAST SALE,September-15-2017,Condo/Co-op,2020 12th St NW #410,Washington,DC,20009,679000,2,2.0,Old City #2,1027,,2005,33,661,681,Sold,,,http://www.redfin.com/DC/Washington/2020-12th-St-NW-20009/unit-410/home/10347289,MRIS,DC10034164,N,Y,38.9176592,-77.028445
PAST SALE,August-18-2017,Condo/Co-op,308 18th Pl NE #3,Washington,DC,20002,330000,2,2.0,Old City #1,624,,1940,61,529,150,Sold,,,http://www.redfin.com/DC/Washington/308-18th-Pl-NE-20002/unit-3/home/12327700,MRIS,DC10009844,N,Y,38.8938184,-76.9783445
PAST SALE,September-29-2017,Condo/Co-op,3026 Porter St NW #104,Washington,DC,20008,345000,2,1.0,Cleveland Park,750,,1925,19,460,417,Sold,,,http://www.redfin.com/DC/Washington/3026-Porter-St-NW-20008/unit-104/home/17393598,MRIS,DC10028191,N,Y,38.9370785,-77.0629819
PAST SALE,July-31-2017,Condo/Co-op,1419 Clifton St NW #203,Washington,DC,20009,480000,2,1.0,Columbia Heights,819,,1909,79,586,431,Sold,,,http://www.redfin.com/DC/Washington/1419-Clifton-St-NW-20009/unit-203/home/10345019,MRIS,DC9977584,N,Y,38.9229012,-77.0327587
PAST SALE,August-28-2017,Condo/Co-op,605 K St NE #1,Washington,DC,20002,549900,2,2.0,Old City #1,918,,1907,51,599,169,Sold,,,http://www.redfin.com/DC/Washington/605-K-St-NE-20002/unit-1/home/21636108,MRIS,DC9935879,N,Y,38.9022447,-76.9981309
PAST SALE,October-2-2017,Condo/Co-op,1 18th St SE #102,Washington,DC,20003,430000,2,2.0,Old City #1,857,,1921,16,502,287,Sold,,,http://www.redfin.com/DC/Washington/1-18th-St-SE-20003/unit-102/home/10186564,MRIS,DC10042489,N,Y,38.889399,-76.979221
PAST SALE,July-24-2017,Condo/Co-op,2527 Q St NW #104,Washington,DC,20007,404000,2,2.0,Georgetown,696,,2002,86,580,450,Sold,,,http://www.redfin.com/DC/Washington/2527-Q-St-NW-20007/unit-104/home/10186627,MRIS,DC9970573,N,Y,38.9107705,-77.0544772
