SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-28-2017,Condo/Co-op,1333 Euclid St NW Ph -1,Washington,DC,20009,820000,2,2.5,Columbia Heights,1372,,1954,82,598,317,Sold,,,http://www.redfin.com/DC/Washington/1333-Euclid-St-NW-20009/unit-301/home/55188219,MRIS,DC9970661,N,Y,38.92405,-77.030957
PAST SALE,July-27-2017,Condo/Co-op,4101 Cathedral Ave NW #1101,Washington,DC,20016,530250,2,2.0,Observatory Circle,1600,,1962,83,331,1646,Sold,,,http://www.redfin.com/DC/Washington/4101-Cathedral-Ave-NW-20016/unit-1101/home/112943422,MRIS,DC9845515,N,Y,38.9304891,-77.0795312
PAST SALE,August-3-2017,Condo/Co-op,4101 Cathedral Ave NW Unit 511/512,Washington,DC,20016,600000,2,2.5,Observatory Circle,1962,,1962,76,306,2236,Sold,,,http://www.redfin.com/DC/Washington/4101-Cathedral-Ave-NW-20016/unit-511-512/home/143504920,MRIS,DC10043211,N,Y,38.9304891,-77.0795312
PAST SALE,August-1-2017,Condo/Co-op,1328 Montello Ave NE #1,Washington,DC,20002,621250,2,2.5,Trinidad,1400,,2016,78,444,247,Sold,,,http://www.redfin.com/DC/Washington/1328-Montello-Ave-NE-20002/unit-1/home/109293118,MRIS,DC9903381,N,Y,38.9054151,-76.9885835
PAST SALE,August-11-2017,Condo/Co-op,700 New Hampshire Ave NW #1016,Washington,DC,20037,620000,2,2.0,Watergate,1384,,1971,68,448,2089,Sold,,,http://www.redfin.com/DC/Washington/700-New-Hampshire-Ave-NW-20037/unit-1016/home/18837995,MRIS,DC9836554,N,Y,38.8980961,-77.0546367
PAST SALE,August-14-2017,Condo/Co-op,332 18th Pl NE #4,Washington,DC,20002,350000,2,1.0,Kingman Park,3360,,1938,65,104,202,Sold,,,http://www.redfin.com/DC/Washington/332-18th-Pl-NE-20002/unit-4/home/109411952,MRIS,DC9987503,N,Y,38.8944719,-76.9783135
PAST SALE,,Condo/Co-op,1915 Calvert St NW Apt 401,Washington,DC,20009,637000,2,2.0,,1402,,1906,,454,,,,,http://www.redfin.com/DC/Washington/1915-Calvert-St-NW-20009/unit-401/home/10002112,,,N,Y,38.9235276,-77.0451702
PAST SALE,August-14-2017,Condo/Co-op,1155 23rd St NW Unit N6C,Washington,DC,20037,1360000,2,2.5,West End,1859,,2000,65,732,2691,Sold,,,http://www.redfin.com/DC/Washington/1155-23rd-St-NW-20037/unit-N6C/home/81839674,MRIS,DC9859898,N,Y,38.9048499,-77.0497577
PAST SALE,August-30-2017,Condo/Co-op,628 I St NE #3,Washington,DC,20002,800000,2,2.5,H Street,1800,,1924,49,444,250,Sold,,,http://www.redfin.com/DC/Washington/628-I-St-NE-20002/unit-3/home/108966513,MRIS,DC9849025,N,Y,38.9014881,-76.9972755
PAST SALE,August-18-2017,Condo/Co-op,3573 Warder St NW #7,Washington,DC,20010,570000,2,2.5,Columbia Heights,1420,,2008,61,401,259,Sold,,,http://www.redfin.com/DC/Washington/3573-Warder-St-NW-20010/unit-7/home/17105221,MRIS,DC10000298,N,Y,38.9345694,-77.0206436
PAST SALE,August-18-2017,Condo/Co-op,332 18th Pl NE #2,Washington,DC,20002,339000,2,1.0,Kingman Park,3360,,1938,61,101,202,Sold,,,http://www.redfin.com/DC/Washington/332-18th-Pl-NE-20002/unit-2/home/109411950,MRIS,DC9916387,N,Y,38.8944719,-76.9783135
PAST SALE,,Condo/Co-op,2501 Pennsylvania Ave NW Apt 3B,Washington,DC,20037,1835000,2,2.5,,2289,,2009,,802,,,,,http://www.redfin.com/DC/Washington/2501-Pennsylvania-Ave-NW-20037/unit-3B/home/28495870,,,N,Y,38.9040972,-77.0535667
PAST SALE,October-5-2017,Condo/Co-op,1111 19th St N #2403,Arlington,VA,22209,1170000,2,2.5,Waterview,1475,,2008,13,793,1275,Sold,,,http://www.redfin.com/VA/Arlington/1111-19th-St-N-22209/unit-2403/home/16898331,MRIS,AR9840415,N,Y,38.897304,-77.069227
PAST SALE,October-11-2017,Condo/Co-op,2425 L St NW #836,Washington,DC,20037,1185000,2,2.0,Central,1300,,2006,7,912,1041,Sold,,,http://www.redfin.com/DC/Washington/2425-L-St-NW-20037/unit-000836/home/11745747,MRIS,DC10052059,N,Y,38.9041982,-77.0523516
PAST SALE,October-6-2017,Condo/Co-op,819 D NE #36,Washington,DC,20002,840000,2,2.0,The Sanctuary,1275,,2017,12,659,385,Sold,,,http://www.redfin.com/DC/Washington/819-D-St-NE-20002/unit-36/home/109320990,MRIS,DC10049673,N,Y,38.8945853,-76.9940682
PAST SALE,October-5-2017,Condo/Co-op,2126 Connecticut Ave NW #33,Washington,DC,20008,673247,2,2.0,Kalorama,1310,,1910,13,514,1112,Sold,,,http://www.redfin.com/DC/Washington/2126-Connecticut-Ave-NW-20008/unit-33/home/9997910,MRIS,DC9952937,N,Y,38.9182348,-77.0480231
