SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-4-2017,Townhouse,3429 Carpenter St SE,Washington,DC,20020,399999,2,2.0,Hill Crest,971,2729,1937,14,412,,Sold,,,http://www.redfin.com/DC/Washington/3429-Carpenter-St-SE-20020/home/10145425,MRIS,DC10048124,N,Y,38.8701517,-76.9556338
PAST SALE,August-18-2017,Townhouse,1820 Kalorama Rd NW #1,Washington,DC,20009,710000,2,2.0,Kalorama,1450,,1900,61,490,670,Sold,,,http://www.redfin.com/DC/Washington/1820-Kalorama-Rd-NW-20009/unit-1/home/10003520,MRIS,DC9979790,N,Y,38.9194683,-77.0426125
PAST SALE,August-4-2017,Townhouse,1822 Calvert St NW #1,Washington,DC,20009,620000,2,2.0,Kalorama,956,,1900,75,649,192,Sold,,,http://www.redfin.com/DC/Washington/1822-Calvert-St-NW-20009/unit-1/home/10002600,MRIS,DC10004222,N,Y,38.9229874,-77.0436551
PAST SALE,August-7-2017,Townhouse,1626--C Beekman Pl NW,Washington,DC,20009,770000,2,2.5,Beekman Place,1210,,1977,72,636,471,Sold,,,http://www.redfin.com/DC/Washington/1626-Beekman-Pl-NW-20009/unit-3H3/home/10005153,MRIS,DC9981952,N,Y,38.9203195,-77.0371197
PAST SALE,August-28-2017,Townhouse,4315 Massachusetts Ave NW,Washington,DC,20016,549000,2,2.5,Cleveland Park,1184,,1988,51,464,515,Sold,,,http://www.redfin.com/DC/Washington/4315-Massachusetts-Ave-NW-20016/home/9960936,MRIS,DC10016522,N,Y,38.9368369,-77.0841553
PAST SALE,August-22-2017,Townhouse,425 Quackenbos St NE,Washington,DC,20011,399900,2,2.0,Riggs Park,928,4082,1943,57,431,,Sold,,,http://www.redfin.com/DC/Washington/425-Quackenbos-St-NE-20011/home/10079618,MRIS,DC9967837,N,Y,38.963462,-77.000237
PAST SALE,August-25-2017,Townhouse,343 Cedar St NW #120,Washington,DC,20012,468000,2,2.5,Brightwood,1265,,2005,54,370,683,Sold,,,http://www.redfin.com/DC/Washington/343-Cedar-St-NW-20012/unit-120/home/10349869,MRIS,DC10010357,N,Y,38.9748603,-77.018094
PAST SALE,August-29-2017,Townhouse,1217 Park Rd NW #1,Washington,DC,20010,509000,2,2.0,Columbia Heights,1100,,1912,50,463,263,Sold,,,http://www.redfin.com/DC/Washington/1217-Park-Rd-NW-20010/unit-1/home/105487952,MRIS,DC9644040,N,Y,38.9316762,-77.0291429
PAST SALE,August-11-2017,Townhouse,3924 W St NW #4,Washington,DC,20007,587000,2,2.0,Glover Park,886,,1938,68,663,243,Sold,,,http://www.redfin.com/DC/Washington/3924-W-St-NW-20007/unit-4/home/142192766,MRIS,DC10003008,N,Y,38.9189577,-77.0780636
PAST SALE,July-20-2017,Townhouse,271 56th St NE,Washington,DC,20019,90000,2,1.0,Deanwood,800,2383,1944,90,113,,Sold,,,http://www.redfin.com/DC/Washington/271-56th-St-NE-20019/home/10130893,MRIS,DC9904290,N,Y,38.892819,-76.920976
PAST SALE,August-15-2017,Vacant Land,1208 49th Pl NE,Washington,DC,20019,135000,,,Deanwood,,4455,,64,,,Sold,,,http://www.redfin.com/DC/Washington/1208-49th-Pl-NE-20019/home/10125950,MRIS,DC9989752,N,Y,38.9065733,-76.9308371
PAST SALE,July-27-2017,Townhouse,1853 Tobias Dr SE,Washington,DC,20020,260000,2,1.0,Randle Heights,1088,1411,2006,83,239,55,Sold,,,http://www.redfin.com/DC/Washington/1853-Tobias-Dr-SE-20020/home/21647233,MRIS,DC9958171,N,Y,38.850886,-76.9778819
PAST SALE,July-28-2017,Townhouse,1907 Savannah Pl SE,Washington,DC,20020,279900,2,2.0,Randle Heights,850,1982,1940,82,329,,Sold,,,http://www.redfin.com/DC/Washington/1907-Savannah-Pl-SE-20020/home/10161871,MRIS,DC9904886,N,Y,38.8489438,-76.9763534
PAST SALE,July-25-2017,Townhouse,1883 Savannah Pl SE,Washington,DC,20020,250000,2,1.0,Randle Heights,850,2092,1940,85,294,,Sold,,,http://www.redfin.com/DC/Washington/1883-Savannah-Pl-SE-20020/home/10161842,MRIS,DC9966466,N,Y,38.8483754,-76.97679
PAST SALE,August-18-2017,Townhouse,29 7th St NE,Washington,DC,20002,699000,2,1.0,Capitol Hill,1026,808,1900,61,681,,Sold,,,http://www.redfin.com/DC/Washington/29-7th-St-NE-20002/home/9901570,MRIS,DC10007553,N,Y,38.8907529,-76.99589
PAST SALE,August-21-2017,Townhouse,1360 Kenyon St NW #3,Washington,DC,20010,550000,2,2.0,Columbia Heights,1230,,1900,58,447,309,Sold,,,http://www.redfin.com/DC/Washington/1360-Kenyon-St-NW-20010/unit-3/home/21644188,MRIS,DC10036899,N,Y,38.929378,-77.031422
PAST SALE,August-29-2017,Townhouse,1861 California St S #1,Washington,DC,20009,609600,2,2.0,Kalorama,900,,1909,50,677,343,Sold,,,http://www.redfin.com/DC/Washington/1861-California-St-NW-20009/unit-1/home/10003796,MRIS,DC10013935,N,Y,38.9179705,-77.0436689
PAST SALE,,Townhouse,1608 Belmont St NW Unit 6B2,Washington,DC,20009,702000,2,1.5,,1200,1172,1977,,585,,,,,http://www.redfin.com/DC/Washington/1608-Belmont-St-NW-20009/unit-6B2/home/10005484,,,N,Y,38.9193792,-77.0377624
PAST SALE,,Single Family Residential,1225 42nd St NE,Washington,DC,20019,235000,2,1.0,,740,2885,1930,,318,,,,,http://www.redfin.com/DC/Washington/1225-42nd-St-NE-20019/home/10121470,,,N,Y,38.9066105,-76.9432021
PAST SALE,,Townhouse,5557 Central Ave SE,Washington,DC,20019,198401,2,1.0,,800,2409,1947,,248,,,,,http://www.redfin.com/DC/Washington/5557-Central-Ave-SE-20019/home/10133318,,,N,Y,38.885746,-76.91994
PAST SALE,,Condo/Co-op,1337 Adams St NE Apt 3,Washington,DC,20018,275000,2,1.0,,680,,1942,,404,,,,,http://www.redfin.com/DC/Washington/1337-Adams-St-NE-20018/unit-3/home/10302345,,,N,Y,38.9197983,-76.9849194
PAST SALE,August-14-2017,Townhouse,1516 K St SE Unit 4C,Washington,DC,20003,419000,2,1.0,Capitol Hill East,680,,2016,65,616,262,Sold,,,http://www.redfin.com/DC/Washington/1516-K-St-SE-20003/unit-4C/home/113749574,MRIS,DC9998583,N,Y,38.878624,-76.982932
PAST SALE,July-21-2017,Single Family Residential,4114 Urn St,Capitol Heights,MD,20743,80000,2,1.0,Bradbury Heights,600,4000,1930,89,133,,Sold,,,http://www.redfin.com/MD/Capitol-Heights/4114-Urn-St-20743/home/10624767,MRIS,PG9989300,N,Y,38.8705342,-76.9361089
PAST SALE,August-11-2017,Townhouse,1514 Q St NW #1,Washington,DC,20009,750000,2,2.0,14th St Corridor,1300,,1885,68,577,214,Sold,,,http://www.redfin.com/DC/Washington/1514-Q-St-NW-20009/unit-1/home/126320175,MRIS,DC9980922,N,Y,38.910865,-77.035301
PAST SALE,July-21-2017,Townhouse,1939 Belmont Rd NW #1119,Washington,DC,20009,800000,2,2.5,Kalorama,1383,,1998,89,578,528,Sold,,,http://www.redfin.com/DC/Washington/1939-Belmont-Rd-NW-20009/unit-1119/home/10179099,MRIS,DC9950363,N,Y,38.9207082,-77.0464147
PAST SALE,July-27-2017,Townhouse,1449 Corcoran St NW #1,Washington,DC,20009,632500,2,2.0,Logan,872,,1890,83,725,228,Sold,,,http://www.redfin.com/DC/Washington/1449-Corcoran-St-NW-20009/unit-1/home/9870256,MRIS,DC9984870,N,Y,38.9120321,-77.0339348
