SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-21-2017,Condo/Co-op,616 E St NW #1146,Washington,DC,20004,1050000,3,3.5,Penn Quarter,1635,,2004,89,642,1100,Sold,,,http://www.redfin.com/DC/Washington/616-E-St-NW-20004/unit-1146/home/10343137,MRIS,DC9963381,N,Y,38.8956235,-77.0210741
PAST SALE,September-29-2017,Single Family Residential,3100 24th St SE,Washington,DC,20020,281500,3,1.5,Randle Heights,992,1620,1948,19,284,,Sold,,,http://www.redfin.com/DC/Washington/3100-24th-St-SE-20020/home/10160501,MRIS,DC10034423,N,Y,38.852865,-76.971887
PAST SALE,August-11-2017,Single Family Residential,1236 45th Pl SE,Washington,DC,20019,416500,3,2.5,Fort Dupont Park,1729,5227,1955,68,241,,Sold,,,http://www.redfin.com/DC/Washington/1236-45th-Pl-SE-20019/home/10137181,MRIS,DC9989926,N,Y,38.875164,-76.934567
PAST SALE,October-16-2017,Single Family Residential,821 Elder St NW,Washington,DC,20012,735000,3,3.0,Brightwood,1942,5920,1928,2,378,,Sold,,,http://www.redfin.com/DC/Washington/821-Elder-St-NW-20012/home/10037496,MRIS,DC10056311,N,Y,38.9775129,-77.0253719
PAST SALE,August-15-2017,Single Family Residential,176 U St NE,Washington,DC,20002,500935,3,1.0,Eckington,1080,871,1912,64,464,,Sold,,,http://www.redfin.com/DC/Washington/176-U-St-NE-20002/home/10073601,MRIS,DC9974581,N,Y,38.9171961,-77.0038268
PAST SALE,September-14-2017,Single Family Residential,1608 Crittenden St NE,Washington,DC,20017,519900,3,3.0,Michigan Park,2025,4391,1949,34,257,,Sold,,,http://www.redfin.com/DC/Washington/1608-Crittenden-St-NE-20017/home/10100721,MRIS,DC10028194,N,Y,38.9472823,-76.9826827
PAST SALE,July-28-2017,Single Family Residential,5004 Worthington Dr,Bethesda,MD,20816,909250,3,1.5,Westmoreland Hills,1472,9595,1938,82,618,,Sold,,,http://www.redfin.com/MD/Bethesda/5004-Worthington-Dr-20816/home/10654898,MRIS,MC9964870,N,Y,38.9501618,-77.1003941
PAST SALE,August-17-2017,Single Family Residential,4551 Grant Rd NW,Washington,DC,20016,950000,3,2.5,Tenleytown,1320,4709,1966,62,720,,Sold,,,http://www.redfin.com/DC/Washington/4551-Grant-Rd-NW-20016/home/9968988,MRIS,DC10002686,N,Y,38.9489667,-77.0753545
PAST SALE,August-11-2017,Single Family Residential,4100 Fessenden St NW,Washington,DC,20016,835000,3,2.5,Chevy Chase,1366,3455,1951,68,611,,Sold,,,http://www.redfin.com/DC/Washington/4100-Fessenden-St-NW-20016/home/9961221,MRIS,DC9989953,N,Y,38.954493,-77.0805375
PAST SALE,,Single Family Residential,5706 Nevada Ave NW,Washington,DC,20015,750100,3,1.5,,1470,5160,1930,,510,,,,,http://www.redfin.com/DC/Washington/5706-Nevada-Ave-NW-20015/home/9978802,,,N,Y,38.9660622,-77.0709237
