SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-11-2017,Townhouse,2251 13th St NE,Washington,DC,20018,492000,3,2.0,Brentwood,1088,1280,1942,7,452,,Sold,,,http://www.redfin.com/DC/Washington/2251-13th-St-NE-20018/home/10091458,MRIS,DC10050235,N,Y,38.9203392,-76.9878461
PAST SALE,September-29-2017,Single Family Residential,3100 24th St SE,Washington,DC,20020,281500,3,1.5,Randle Heights,992,1620,1948,19,284,,Sold,,,http://www.redfin.com/DC/Washington/3100-24th-St-SE-20020/home/10160501,MRIS,DC10034423,N,Y,38.852865,-76.971887
PAST SALE,August-15-2017,Single Family Residential,176 U St NE,Washington,DC,20002,500935,3,1.0,Eckington,1080,871,1912,64,464,,Sold,,,http://www.redfin.com/DC/Washington/176-U-St-NE-20002/home/10073601,MRIS,DC9974581,N,Y,38.9171961,-77.0038268
PAST SALE,,Multi-Family (2-4 Unit),529 59th St NE,Washington,DC,20019,146900,3,2.0,,1184,1899,1952,,124,,,,,http://www.redfin.com/DC/Washington/529-59th-St-NE-20019/home/10131294,,,N,Y,38.896758,-76.9161419
PAST SALE,August-11-2017,Townhouse,726 Hamilton St NE,Washington,DC,20011,430000,3,1.5,Riggs Park,1088,2910,1954,68,395,,Sold,,,http://www.redfin.com/DC/Washington/726-Hamilton-St-NE-20011/home/10082379,MRIS,DC9997740,N,Y,38.954709,-76.9947522
PAST SALE,,Townhouse,832 Madison St NW,Washington,DC,20011,439100,3,1.5,,1116,1782,1923,,393,,,,,http://www.redfin.com/DC/Washington/832-Madison-St-NW-20011/home/10039268,,,N,Y,38.95818,-77.025327
PAST SALE,,Townhouse,5605 2nd St NW,Washington,DC,20011,117165,3,1.0,,1152,1710,1931,,102,,,,,http://www.redfin.com/DC/Washington/5605-2nd-St-NW-20011/home/10068788,,,N,Y,38.9579103,-77.0134289
PAST SALE,August-28-2017,Townhouse,311 Whittier St NW,Washington,DC,20012,614250,3,2.0,Brightwood,1152,2376,1940,51,533,,Sold,,,http://www.redfin.com/DC/Washington/311-Whittier-St-NW-20012/home/10062520,MRIS,DC10015729,N,Y,38.9714882,-77.0168696
PAST SALE,,Townhouse,251 Oakwood St SE,Washington,DC,20032,350000,3,1.5,,1024,3949,1950,,342,,,,,http://www.redfin.com/DC/Washington/251-Oakwood-St-SE-20032/home/10166802,,,N,Y,38.8473931,-77.003877
PAST SALE,,Condo/Co-op,201 33rd St NE,Washington,DC,20019,355000,3,1.0,,832,,1942,,427,,,,,http://www.redfin.com/DC/Washington/201-33rd-St-NE-20019/home/10116532,,,N,Y,38.8922106,-76.9599201
PAST SALE,,Townhouse,325 16th St SE,Washington,DC,20003,770000,3,1.0,,1200,2199,1916,,642,,,,,http://www.redfin.com/DC/Washington/325-16th-St-SE-20003/home/9919096,,,N,Y,38.8846851,-76.9824528
PAST SALE,,Townhouse,156 Upsal St SE,Washington,DC,20032,185400,3,1.5,,1104,5826,1941,,168,,,,,http://www.redfin.com/DC/Washington/156-Upsal-St-SE-20032/home/10167322,,,N,Y,38.838373,-77.003232
PAST SALE,July-31-2017,Townhouse,4306 9th St SE,Washington,DC,20032,325000,3,2.0,Congress Heights,840,3934,1990,79,387,,Sold,,,http://www.redfin.com/DC/Washington/4306-9th-St-SE-20032/home/10163724,MRIS,DC9924330,N,Y,38.8312982,-76.9892262
