SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-8-2017,Townhouse,5077 8th St NE,Washington,DC,20017,389000,3,1.0,Riggs Park,1479,3014,1948,40,263,,Sold,,,http://www.redfin.com/DC/Washington/5077-8th-St-NE-20017/home/10084077,MRIS,DC10039287,N,Y,38.951809,-76.993629
PAST SALE,October-11-2017,Townhouse,2251 13th St NE,Washington,DC,20018,492000,3,2.0,Brentwood,1088,1280,1942,7,452,,Sold,,,http://www.redfin.com/DC/Washington/2251-13th-St-NE-20018/home/10091458,MRIS,DC10050235,N,Y,38.9203392,-76.9878461
PAST SALE,,Townhouse,3724 Van Ness St NW,Washington,DC,20016,975000,3,2.0,,1278,4439,1928,,763,,,,,http://www.redfin.com/DC/Washington/3724-Van-Ness-St-NW-20016/home/9972997,,,N,Y,38.942896,-77.07355
PAST SALE,August-29-2017,Townhouse,221 Gallatin St NW,Washington,DC,20011,475000,3,2.5,Petworth,1368,2466,1937,50,347,,Sold,,,http://www.redfin.com/DC/Washington/221-Gallatin-St-NW-20011/home/10065931,MRIS,DC10024693,N,Y,38.952566,-77.0144059
PAST SALE,August-17-2017,Townhouse,1709 Independence Ave SE,Washington,DC,20003,565000,3,2.5,Old City #1,1300,1599,1924,62,435,,Sold,,,http://www.redfin.com/DC/Washington/1709-Independence-Ave-SE-20003/home/9921471,MRIS,DC9978594,N,Y,38.88739,-76.9802375
PAST SALE,August-28-2017,Townhouse,1432 Trinidad Ave NE,Washington,DC,20002,535000,3,1.0,Trinidad,1276,1468,1925,51,419,,Sold,,,http://www.redfin.com/DC/Washington/1432-Trinidad-Ave-NE-20002/home/10095598,MRIS,DC10012848,N,Y,38.90531,-76.985122
PAST SALE,August-14-2017,Townhouse,3315 Sherman Ave NW,Washington,DC,20010,570000,3,1.0,Columbia Heights,1332,1748,1912,65,428,,Sold,,,http://www.redfin.com/DC/Washington/3315-Sherman-Ave-NW-20010/home/10033047,MRIS,DC9997491,N,Y,38.931243,-77.0263675
PAST SALE,July-27-2017,Townhouse,4702 Springmaid Ln,Oxon Hill,MD,20745,250000,3,2.5,Fosters Overlook,1292,1700,2005,83,193,72,Sold,,,http://www.redfin.com/MD/Oxon-Hill/4702-Springmaid-Ln-20745/home/10811544,MRIS,PG9916055,N,Y,38.8268119,-76.9921163
PAST SALE,August-11-2017,Townhouse,726 Hamilton St NE,Washington,DC,20011,430000,3,1.5,Riggs Park,1088,2910,1954,68,395,,Sold,,,http://www.redfin.com/DC/Washington/726-Hamilton-St-NE-20011/home/10082379,MRIS,DC9997740,N,Y,38.954709,-76.9947522
PAST SALE,,Townhouse,832 Madison St NW,Washington,DC,20011,439100,3,1.5,,1116,1782,1923,,393,,,,,http://www.redfin.com/DC/Washington/832-Madison-St-NW-20011/home/10039268,,,N,Y,38.95818,-77.025327
PAST SALE,,Townhouse,5605 2nd St NW,Washington,DC,20011,117165,3,1.0,,1152,1710,1931,,102,,,,,http://www.redfin.com/DC/Washington/5605-2nd-St-NW-20011/home/10068788,,,N,Y,38.9579103,-77.0134289
PAST SALE,August-28-2017,Townhouse,311 Whittier St NW,Washington,DC,20012,614250,3,2.0,Brightwood,1152,2376,1940,51,533,,Sold,,,http://www.redfin.com/DC/Washington/311-Whittier-St-NW-20012/home/10062520,MRIS,DC10015729,N,Y,38.9714882,-77.0168696
PAST SALE,,Townhouse,251 Oakwood St SE,Washington,DC,20032,350000,3,1.5,,1024,3949,1950,,342,,,,,http://www.redfin.com/DC/Washington/251-Oakwood-St-SE-20032/home/10166802,,,N,Y,38.8473931,-77.003877
