SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-8-2017,Townhouse,4928 Sargent Rd NE,Washington,DC,20017,590000,3,2.5,Riggs Park,1620,2717,1953,41,364,,Sold,,,http://www.redfin.com/DC/Washington/4928-Sargent-Rd-NE-20017/home/10089665,MRIS,DC9977580,N,Y,38.9488756,-76.9898016
PAST SALE,September-14-2017,Townhouse,1853 Bruce Pl SE,Washington,DC,20020,325000,3,3.0,Randle Heights,1710,3072,2006,35,190,68,Sold,,,http://www.redfin.com/DC/Washington/1853-Bruce-Pl-SE-20020/home/11745598,MRIS,DC10003241,N,Y,38.851689,-76.977898
PAST SALE,August-11-2017,Townhouse,2000 Trenton Pl SE,Washington,DC,20020,310000,3,2.5,Randle Heights,1800,2072,2001,69,172,77,Sold,,,http://www.redfin.com/DC/Washington/2000-Trenton-Pl-SE-20020/home/10181883,MRIS,DC9983036,N,Y,38.8454805,-76.9752551
PAST SALE,July-21-2017,Townhouse,1916 C St NE,Washington,DC,20002,759000,3,3.5,Old City #1,1800,1427,1938,90,422,,Sold,,,http://www.redfin.com/DC/Washington/1916-C-St-NE-20002/home/10114918,MRIS,DC9963128,N,Y,38.8935896,-76.9766655
PAST SALE,August-31-2017,Townhouse,626 Powhatan Pl NW,Washington,DC,20011,535000,3,1.5,Brightwood,1632,2272,1935,49,328,,Sold,,,http://www.redfin.com/DC/Washington/626-Powhatan-Pl-NW-20011/home/10055821,MRIS,DC10011134,N,Y,38.96309,-77.022276
PAST SALE,August-31-2017,Townhouse,614 Lamont St NW,Washington,DC,20010,650000,3,1.0,Columbia Heights,1537,1511,1910,49,423,,Sold,,,http://www.redfin.com/DC/Washington/614-Lamont-St-NW-20010/home/21648513,MRIS,DC10016166,N,Y,38.931171,-77.0218654
PAST SALE,September-8-2017,Townhouse,3108 Apple Rd NE #12,Washington,DC,20018,270000,3,1.5,Fort Lincoln,1695,,1978,41,159,225,Sold,,,http://www.redfin.com/DC/Washington/3108-Apple-Rd-NE-20018/unit-12/home/10107617,MRIS,DC9937770,N,Y,38.9246563,-76.9623769
PAST SALE,September-22-2017,Townhouse,4114 Jenifer St NW,Washington,DC,20015,799000,3,1.5,Chevy Chase,2133,2385,1926,27,375,,Sold,,,http://www.redfin.com/DC/Washington/4114-Jenifer-St-NW-20015/home/9961420,MRIS,DC9984215,N,Y,38.9588427,-77.0812489
PAST SALE,July-28-2017,Townhouse,3917 Georgetown Ct NW,Washington,DC,20007,1325000,3,3.5,Georgetown,3024,1631,1981,83,438,590,Sold,,,http://www.redfin.com/DC/Washington/3917-Georgetown-Ct-NW-20007/home/9937028,MRIS,DC9896631,N,Y,38.9135124,-77.0767168
PAST SALE,August-30-2017,Townhouse,434 Eastern Ave NE,Washington,DC,20019,245000,3,2.5,Deanwood,1683,688,2011,50,146,125,Sold,,,http://www.redfin.com/DC/Washington/434-Eastern-Ave-NE-20019/home/40243857,MRIS,DC10044452,N,Y,38.8950911,-76.9125664
PAST SALE,July-31-2017,Townhouse,1518 Newton St NW,Washington,DC,20010,825000,3,2.5,Columbia Heights,2570,1469,1908,80,321,,Sold,,,http://www.redfin.com/DC/Washington/1518-Newton-St-NW-20010/home/10014396,MRIS,DC9970617,N,Y,38.9328057,-77.0357296
PAST SALE,September-5-2017,Townhouse,1004 Monroe St NW,Washington,DC,20010,853000,3,2.0,Columbia Heights,1990,1473,1912,44,429,,Sold,,,http://www.redfin.com/DC/Washington/1004-Monroe-St-NW-20010/home/10028187,MRIS,DC9994456,N,Y,38.932566,-77.027758
PAST SALE,July-24-2017,Townhouse,134 Adams St NW,Washington,DC,20001,910000,3,3.5,Ledroit Park,2043,1440,1909,87,445,,Sold,,,http://www.redfin.com/DC/Washington/134-Adams-St-NW-20001/home/10049709,MRIS,DC9977666,N,Y,38.9200524,-77.0134117
PAST SALE,September-18-2017,Townhouse,3642 Wright Trl NE,Washington,DC,20018,545000,3,2.5,Fort Lincoln,1702,2178,2014,31,320,,Sold,,,http://www.redfin.com/DC/Washington/3642-Wright-Ter-20018/home/96361032,MRIS,DC10023567,N,Y,38.9234053,-76.9549073
