SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,2303 Ashboro Dr,Chevy Chase,MD,20815,750000,4,3.0,,2310,6308,1951,,325,,,,,http://www.redfin.com/MD/Chevy-Chase/2303-Ashboro-Dr-20815/home/11000110,,,N,Y,38.991428,-77.0484759
PAST SALE,August-18-2017,Single Family Residential,3123 Newton St NE,Washington,DC,20018,447000,4,3.5,Woodridge,1653,8253,1925,62,270,,Sold,,,http://www.redfin.com/DC/Washington/3123-Newton-St-NE-20018/home/10105625,MRIS,DC9928776,N,Y,38.9339299,-76.9646362
PAST SALE,,Single Family Residential,5113 34th St NW,Washington,DC,20008,1120000,3,3.0,,1740,6848,1950,,644,,,,,http://www.redfin.com/DC/Washington/5113-34th-St-NW-20008/home/9981110,,,N,Y,38.9562001,-77.066433
PAST SALE,,Condo/Co-op,4549 S Dakota Ave NE,Washington,DC,20017,304000,4,1.5,,1716,,1930,,177,,,,,http://www.redfin.com/DC/Washington/4549-S-Dakota-Ave-NE-20017/home/10092747,,,N,Y,38.9456668,-76.9869789
PAST SALE,,Condo/Co-op,1612 44th St NW,Washington,DC,20007,1330000,4,3.0,,2144,,1929,,620,,,,,http://www.redfin.com/DC/Washington/1612-44th-St-NW-20007/home/9938244,,,N,Y,38.911284,-77.081559
PAST SALE,July-31-2017,Condo/Co-op,3150 South St NW Unit 2F,Washington,DC,20007,3200000,4,5.5,Georgetown,3890,,2003,80,823,6303,Sold,,,http://www.redfin.com/DC/Washington/3150-South-St-NW-20007/unit-2F/home/10190123,MRIS,DC9952734,N,Y,38.9034175,-77.061954
PAST SALE,,Multi-Family (2-4 Unit),2334 25th St SE,Washington,DC,20020,291910,4,4.0,,2800,7513,1941,,104,,,,,http://www.redfin.com/DC/Washington/2334-25th-St-SE-20020/home/10157042,,,N,Y,38.8598913,-76.9696356
PAST SALE,August-7-2017,Single Family Residential,4119 45th St NW,Washington,DC,20016,1260000,4,3.5,American University Park,2364,6426,1952,73,533,,Sold,,,http://www.redfin.com/DC/Washington/4119-45th-St-NW-20016/home/9949837,MRIS,DC9985368,N,Y,38.9424982,-77.087489
PAST SALE,August-15-2017,Single Family Residential,2133 32nd St SE,Washington,DC,20020,545000,4,2.5,Hill Crest,2320,4725,1937,65,235,,Sold,,,http://www.redfin.com/DC/Washington/2133-32nd-St-SE-20020/home/10152279,MRIS,DC9984082,N,Y,38.8633831,-76.9617731
PAST SALE,,Multi-Family (2-4 Unit),2305 Mount View Pl SE,Washington,DC,20020,413448,4,4.0,,2736,7065,1935,,151,,,,,http://www.redfin.com/DC/Washington/2305-Mount-View-Pl-SE-20020/home/10159207,,,N,Y,38.862533,-76.9909459
