SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-28-2017,Townhouse,5023 7th Pl NW,Washington,DC,20011,675000,4,3.5,Petworth,2043,1620,1925,83,330,,Sold,,,http://www.redfin.com/DC/Washington/5023-7th-Pl-NW-20011/home/10051809,MRIS,DC9950524,N,Y,38.9516142,-77.0227652
PAST SALE,September-18-2017,Townhouse,2415 E St NE,Washington,DC,20002,605000,4,2.0,Old City #1,1648,1751,1943,31,367,,Sold,,,http://www.redfin.com/DC/Washington/2415-E-St-NE-20002/home/10113069,MRIS,DC10033822,N,Y,38.8959265,-76.9721738
PAST SALE,September-19-2017,Townhouse,1110 Park Rd NW,Washington,DC,20010,1115000,4,3.5,Columbia Heights,2244,2472,1913,30,497,,Sold,,,http://www.redfin.com/DC/Washington/1110-Park-Rd-NW-20010/home/10028458,MRIS,DC10014150,N,Y,38.931403,-77.028578
PAST SALE,August-10-2017,Townhouse,3835 Military Rd NW,Washington,DC,20015,970000,4,3.5,Chevy Chase,2700,3255,1923,70,359,,Sold,,,http://www.redfin.com/DC/Washington/3835-Military-Rd-NW-20015/home/9969406,MRIS,DC9948158,N,Y,38.961293,-77.076599
PAST SALE,July-28-2017,Townhouse,1030 D St NE,Washington,DC,20002,830000,4,2.5,Capitol Hill,1991,1039,1928,83,417,,Sold,,,http://www.redfin.com/DC/Washington/1030-D-St-NE-20002/home/9906371,MRIS,DC9977602,N,Y,38.8949206,-76.9917651
PAST SALE,October-13-2017,Townhouse,1115 4th St SE,Washington,DC,20003,1200000,4,4.5,Old City #1,2534,881,2012,6,474,92,Sold,,,http://www.redfin.com/DC/Washington/1115-4th-St-SE-20003/home/45504756,MRIS,DC10033862,N,Y,38.8770775,-77.0007408
PAST SALE,,Townhouse,1271 Holbrook Ter NE,Washington,DC,20002,685000,3,2.0,,1440,1433,1927,,476,,,,,http://www.redfin.com/DC/Washington/1271-Holbrook-Ter-NE-20002/home/10304147,,,N,Y,38.9064848,-76.9851464
PAST SALE,,Townhouse,1229 Trinidad Ave NE,Washington,DC,20002,719000,4,2.5,,1530,1246,1925,,470,,,,,http://www.redfin.com/DC/Washington/1229-Trinidad-Ave-NE-20002/home/10096764,,,N,Y,38.9030675,-76.986052
PAST SALE,October-12-2017,Townhouse,35 V St NE,Washington,DC,20002,805001,4,2.5,Brookland,1375,1238,1900,7,585,,Sold,,,http://www.redfin.com/DC/Washington/35-V-St-NE-20002/home/10072232,MRIS,DC10050134,N,Y,38.9179391,-77.0076658
PAST SALE,October-16-2017,Townhouse,943 T St NW,Washington,DC,20001,1225000,4,3.5,Old City #2,2250,1071,1900,3,544,,Sold,,,http://www.redfin.com/DC/Washington/943-T-St-NW-20001/home/9877077,MRIS,DC10049056,N,Y,38.9157417,-77.0255731
PAST SALE,August-11-2017,Townhouse,3910 Kansas Ave NW,Washington,DC,20011,700000,4,2.5,Columbia Heights,2100,2080,1917,69,333,,Sold,,,http://www.redfin.com/DC/Washington/3910-Kansas-Ave-NW-20011/home/10034455,MRIS,DC9985670,N,Y,38.939295,-77.02835
PAST SALE,August-21-2017,Townhouse,1335 T St SE,Washington,DC,20020,270000,4,1.5,Anacostia,1200,1700,1925,59,225,,Sold,,,http://www.redfin.com/DC/Washington/1335-T-St-SE-20020/home/10148694,MRIS,DC9966174,N,Y,38.8674171,-76.985577
PAST SALE,,Townhouse,2108 Minnesota Ave SE,Washington,DC,20020,280000,3,1.0,,1224,1467,1926,,229,,,,,http://www.redfin.com/DC/Washington/2108-Minnesota-Ave-SE-20020/home/10147537,,,N,Y,38.871102,-76.975967
