SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-24-2017,Townhouse,1751 Kilbourne Pl NW,Washington,DC,20010,1578000,6,5.5,Mount Pleasant,3719,1943,1907,87,424,,Sold,,,http://www.redfin.com/DC/Washington/1751-Kilbourne-Pl-NW-20010/home/10008532,MRIS,DC9984366,N,Y,38.93084,-77.040688
PAST SALE,September-29-2017,Single Family Residential,4917 Foote St NE,Washington,DC,20019,421000,6,3.0,Deanwood,2891,5609,1996,20,146,,Sold,,,http://www.redfin.com/DC/Washington/4917-Foote-St-NE-20019/home/10127272,MRIS,DC9978069,N,Y,38.8967739,-76.9307744
PAST SALE,August-22-2017,Single Family Residential,2203 Foxboro Pl NW,Washington,DC,20007,1720875,7,6.5,Berkley,4919,7513,1979,58,350,,Sold,,,http://www.redfin.com/DC/Washington/2203-Foxboro-Pl-NW-20007/home/9937787,MRIS,DC9937849,N,Y,38.9195282,-77.0870812
PAST SALE,August-11-2017,Single Family Residential,5400 Cathedral Ave NW,Washington,DC,20016,1100000,6,4.0,Palisades,2140,6750,1935,69,514,,Sold,,,http://www.redfin.com/DC/Washington/5400-Cathedral-Ave-NW-20016/home/9943905,MRIS,DC10072615,N,Y,38.9292333,-77.1077533
PAST SALE,,Multi-Family (2-4 Unit),3009 30th St SE,Washington,DC,20020,343040,12,6.0,,3600,6267,1945,,95,,,,,http://www.redfin.com/DC/Washington/3009-30th-St-SE-20020/home/10156712,,,N,Y,38.8530651,-76.9659815
PAST SALE,August-11-2017,Multi-Family (2-4 Unit),1832 D St NE,Washington,DC,20002,750000,,,Old City #1,3448,4080,1937,69,218,,Sold,,,http://www.redfin.com/DC/Washington/1832-D-St-NE-20002/home/10114538,MRIS,DC9979207,N,Y,38.8949525,-76.9778604
PAST SALE,August-1-2017,Townhouse,1008 Otis Pl NW,Washington,DC,20010,960000,6,5.0,Columbia Heights,2405,2700,1909,79,399,,Sold,,,http://www.redfin.com/DC/Washington/1008-Otis-Pl-NW-20010/home/10027236,MRIS,DC9967484,N,Y,38.9343517,-77.02789
PAST SALE,August-14-2017,Multi-Family (2-4 Unit),4104 14th St NW,Washington,DC,20011,2050000,,,Columbia Heights,,,1924,66,,,Sold,,,http://www.redfin.com/DC/Washington/4104-14th-St-NW-20011/home/10179393,MRIS,DC10031431,N,Y,38.9411335,-77.0330259
PAST SALE,August-7-2017,Single Family Residential,1630 Juniper St NW,Washington,DC,20012,1380000,7,5.5,Colonial Village,7177,36512,1940,73,192,,Sold,,,http://www.redfin.com/DC/Washington/1630-Juniper-St-NW-20012/home/10019869,MRIS,DC9743522,N,Y,38.9828255,-77.0378839
PAST SALE,August-11-2017,Single Family Residential,3111 Rittenhouse St NW,Washington,DC,20015,1200000,6,3.5,Chevy Chase,4220,5250,1932,69,284,,Sold,,,http://www.redfin.com/DC/Washington/3111-Rittenhouse-St-NW-20015/home/9994355,MRIS,DC9829808,N,Y,38.9699672,-77.0628258
PAST SALE,August-21-2017,Townhouse,1237 10th St NW,Washington,DC,20001,1250000,7,4.0,Old City #2,2778,1700,1900,59,450,,Sold,,,http://www.redfin.com/DC/Washington/1237-10th-St-NW-20001/home/9877984,MRIS,DC10045400,N,Y,38.90695,-77.0256689
PAST SALE,August-5-2017,Single Family Residential,3643 Tilden St NW,Washington,DC,20008,2100000,6,3.5,North Cleveland Park,3438,9588,1956,75,611,,Sold,,,http://www.redfin.com/DC/Washington/3643-Tilden-St-NW-20008/home/9973064,MRIS,DC10024698,N,Y,38.9414455,-77.0721699
PAST SALE,,Single Family Residential,2801 Chesapeake St NW,Washington,DC,20008,2375000,6,4.5,,4106,11425,1929,,578,,,,,http://www.redfin.com/DC/Washington/2801-Chesapeake-St-NW-20008/home/113745901,,,N,Y,38.9506892,-77.0563775
PAST SALE,July-31-2017,Single Family Residential,4450 Deerfield Rd NW,Washington,DC,20007,3450000,6,6.0,Berkley,6610,9347,2014,80,522,392,Sold,,,http://www.redfin.com/DC/Washington/4450-Deerfield-Rd-20007/home/99788285,MRIS,DC9895468,N,Y,38.917802,-77.08806
PAST SALE,August-21-2017,Single Family Residential,1339 29th St NW,Washington,DC,20007,3975000,7,5.0,Georgetown,6800,8553,1802,59,585,,Sold,,,http://www.redfin.com/DC/Washington/1339-29th-St-NW-20007/home/9927057,MRIS,DC9905152,N,Y,38.9081026,-77.0579694
PAST SALE,,Condo/Co-op,1706 Massachusetts Ave SE,Washington,DC,20003,550000,6,2.0,,1640,,1925,,335,,,,,http://www.redfin.com/DC/Washington/1706-Massachusetts-Ave-SE-20003/home/9921535,,,N,Y,38.886152,-76.980294
PAST SALE,August-8-2017,Townhouse,804 Rhode Island Ave NW,Washington,DC,20001,1250000,6,4.0,Old City #2,3230,1552,1900,72,387,,Sold,,,http://www.redfin.com/DC/Washington/804-Rhode-Island-Ave-NW-20001/home/9878230,MRIS,DC9967646,N,Y,38.911523,-77.0234119
PAST SALE,,Condo/Co-op,1327 Corcoran St NW,Washington,DC,20009,1500000,6,1.5,,2398,,1890,,626,,,,,http://www.redfin.com/DC/Washington/1327-Corcoran-St-NW-20009/home/9872022,,,N,Y,38.912059,-77.030761
PAST SALE,July-21-2017,Single Family Residential,3350 Ely Pl SE,Washington,DC,20019,447000,6,2.5,Fort Dupont Park,1104,3860,1920,90,405,,Sold,,,http://www.redfin.com/DC/Washington/3350-Ely-Pl-SE-20019/home/10142360,MRIS,DC9959846,N,Y,38.883848,-76.9578779
PAST SALE,August-28-2017,Multi-Family (2-4 Unit),3532 Minnesota Ave SE,Washington,DC,20019,650000,,,Fort Dupont Park,3956,6183,1949,52,164,,Sold,,,http://www.redfin.com/DC/Washington/3532-Minnesota-Ave-SE-20019/home/10141829,MRIS,DC9938470,N,Y,38.8870698,-76.9553989
PAST SALE,,Single Family Residential,4802 Foxhall Cres NW,Washington,DC,20007,2054780,6,5.0,,4910,14292,1994,,418,,,,,http://www.redfin.com/DC/Washington/4802-Foxhall-Cres-NW-20007/home/9941434,,,N,Y,38.9238003,-77.0941871
PAST SALE,,Multi-Family (2-4 Unit),3129 Buena Vista Ter SE,Washington,DC,20020,685000,8,4.0,,2720,7401,1945,,252,,,,,http://www.redfin.com/DC/Washington/3129-Buena-Vista-Ter-SE-20020/home/10156723,,,N,Y,38.851156,-76.9658443
PAST SALE,August-28-2017,Townhouse,1424 Belmont St NW,Washington,DC,20009,1549000,8,5.0,Columbia Heights,2910,2450,1910,52,532,,Sold,,,http://www.redfin.com/DC/Washington/1424-Belmont-St-NW-20009/home/10349410,MRIS,DC10011627,N,Y,38.9202584,-77.032978
PAST SALE,August-28-2017,Townhouse,705 Irving St NW,Washington,DC,20010,1220000,7,6.5,Columbia Heights,2028,1100,1939,52,602,,Sold,,,http://www.redfin.com/DC/Washington/705-Irving-St-NW-20010/home/113173205,MRIS,DC9871200,N,Y,38.929191,-77.023864
