SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-13-2017,Condo/Co-op,1725 17th St NW #503,Washington,DC,20009,219500,0,1.0,Old City #2,440,,1917,5,499,536,Sold,,,http://www.redfin.com/DC/Washington/1725-17th-St-NW-20009/unit-503/home/18981537,MRIS,DC10035329,N,Y,38.9135446,-77.0379321
PAST SALE,August-31-2017,Condo/Co-op,300 M St SW Unit N303,Washington,DC,20024,224900,0,1.0,Rla (sw),463,,1967,48,486,421,Sold,,,http://www.redfin.com/DC/Washington/300-M-St-SW-20024/unit-N303/home/108236268,MRIS,DC9955167,N,Y,38.8761342,-77.0164878
PAST SALE,September-15-2017,Condo/Co-op,1441 Rhode Island Ave NW #915,Washington,DC,20005,366500,0,1.0,Old City #2,552,,2003,33,664,299,Sold,,,http://www.redfin.com/DC/Washington/1441-Rhode-Island-Ave-NW-20005/unit-915/home/21648156,MRIS,DC10022935,N,Y,38.9085968,-77.0337573
PAST SALE,August-22-2017,Condo/Co-op,1910 Kalorama Rd NW #302,Washington,DC,20009,372000,0,1.0,Kalorama,479,,1923,57,777,248,Sold,,,http://www.redfin.com/DC/Washington/1910-Kalorama-Rd-NW-20009/unit-302/home/45505197,MRIS,DC9935900,N,Y,38.9190923,-77.0455228
PAST SALE,July-31-2017,Condo/Co-op,350 G St SW Unit N323,Washington,DC,20024,260000,0,1.0,Rla (sw),533,,2004,79,488,236,Sold,,,http://www.redfin.com/DC/Washington/350-G-St-SW-20024/unit-00N323/home/22643487,MRIS,DC9904706,N,Y,38.8807664,-77.0165581
PAST SALE,July-31-2017,Condo/Co-op,240 M St SW Unit E812,Washington,DC,20024,224000,0,1.0,Rla (sw),463,,1967,79,484,405,Sold,,,http://www.redfin.com/DC/Washington/240-M-St-SW-20024/unit-E812/home/9886497,MRIS,DC9968647,N,Y,38.8754195,-77.0158124
PAST SALE,August-18-2017,Condo/Co-op,1440 N St NW #215,Washington,DC,20005,239900,0,1.0,Old City #2,430,,1964,61,558,460,Sold,,,http://www.redfin.com/DC/Washington/1440-N-St-NW-20005/unit-215/home/9871135,MRIS,DC9980327,N,Y,38.9070428,-77.0336369
PAST SALE,,Condo/Co-op,3895 Rodman St NW Apt C75,Washington,DC,20016,227500,0,1.0,,506,,1942,,450,,,,,http://www.redfin.com/DC/Washington/3895-Rodman-St-NW-20016/unit-C75/home/9968403,,,N,Y,38.939353,-77.077251
PAST SALE,August-11-2017,Condo/Co-op,1931 17th St NW #103,Washington,DC,20009,275000,0,1.0,U Street,405,,1982,68,679,230,Sold,,,http://www.redfin.com/DC/Washington/1931-17th-St-NW-20009/unit-103/home/9865105,MRIS,DC9978780,N,Y,38.9164879,-77.0380555
PAST SALE,August-15-2017,Condo/Co-op,1954 Columbia Rd NW #109,Washington,DC,20009,180000,0,1.0,Kalorama,280,,1927,64,643,202,Sold,,,http://www.redfin.com/DC/Washington/1954-Columbia-Rd-NW-20009/unit-109/home/9999325,MRIS,DC9981485,N,Y,38.9177942,-77.0452169
