"","SALE.TYPE","SOLD.DATE","PROPERTY.TYPE","ADDRESS","CITY","STATE","ZIP","PRICE","BEDS","BATHS","LOCATION","SQUARE.FEET","LOT.SIZE","YEAR.BUILT","DAYS.ON.MARKET","X..SQUARE.FEET","HOA.MONTH","URL..SEE.http...www.redfin.com.buy.a.home.comparative.market.analysis.FOR.INFO.ON.PRICING.","SOURCE","MLS.","LATITUDE","LONGITUDE","dist"
"1","PAST SALE",2017-10-13,"Condo/Co-op","1725 17th St NW #503","Washington","DC",20009,219500,0,1,"Old City #2",440,NA,1917,5,499,536,"http://www.redfin.com/DC/Washington/1725-17th-St-NW-20009/unit-503/home/18981537","MRIS","DC10035329",38.9135446,-77.0379321,0.413170993188023
"2","PAST SALE",2017-08-31,"Condo/Co-op","300 M St SW Unit N303","Washington","DC",20024,224900,0,1,"Rla (sw)",463,NA,1967,48,486,421,"http://www.redfin.com/DC/Washington/300-M-St-SW-20024/unit-N303/home/108236268","MRIS","DC9955167",38.8761342,-77.0164878,0.0485816030432221
"3","PAST SALE",2017-09-15,"Condo/Co-op","1441 Rhode Island Ave NW #915","Washington","DC",20005,366500,0,1,"Old City #2",552,NA,2003,33,664,299,"http://www.redfin.com/DC/Washington/1441-Rhode-Island-Ave-NW-20005/unit-915/home/21648156","MRIS","DC10022935",38.9085968,-77.0337573,0.490266475603726
"4","PAST SALE",2017-08-22,"Condo/Co-op","1910 Kalorama Rd NW #302","Washington","DC",20009,372000,0,1,"Kalorama",479,NA,1923,57,777,248,"http://www.redfin.com/DC/Washington/1910-Kalorama-Rd-NW-20009/unit-302/home/45505197","MRIS","DC9935900",38.9190923,-77.0455228,0.558242583563222
"5","PAST SALE",2017-07-31,"Condo/Co-op","350 G St SW Unit N323","Washington","DC",20024,260000,0,1,"Rla (sw)",533,NA,2004,79,488,236,"http://www.redfin.com/DC/Washington/350-G-St-SW-20024/unit-00N323/home/22643487","MRIS","DC9904706",38.8807664,-77.0165581,0.268504387226719
"6","PAST SALE",2017-07-31,"Condo/Co-op","240 M St SW Unit E812","Washington","DC",20024,224000,0,1,"Rla (sw)",463,NA,1967,79,484,405,"http://www.redfin.com/DC/Washington/240-M-St-SW-20024/unit-E812/home/9886497","MRIS","DC9968647",38.8754195,-77.0158124,0.100700742740977
"7","PAST SALE",2017-08-18,"Condo/Co-op","1440 N St NW #215","Washington","DC",20005,239900,0,1,"Old City #2",430,NA,1964,61,558,460,"http://www.redfin.com/DC/Washington/1440-N-St-NW-20005/unit-215/home/9871135","MRIS","DC9980327",38.9070428,-77.0336369,0.410358995866893
"8","PAST SALE",NA,"Condo/Co-op","3895 Rodman St NW Apt C75","Washington","DC",20016,227500,0,1,"",506,NA,1942,NA,450,NA,"http://www.redfin.com/DC/Washington/3895-Rodman-St-NW-20016/unit-C75/home/9968403","","",38.939353,-77.077251,0.622985241634706
"9","PAST SALE",2017-08-11,"Condo/Co-op","1931 17th St NW #103","Washington","DC",20009,275000,0,1,"U Street",405,NA,1982,68,679,230,"http://www.redfin.com/DC/Washington/1931-17th-St-NW-20009/unit-103/home/9865105","MRIS","DC9978780",38.9164879,-77.0380555,0.49025616511981
"10","PAST SALE",2017-08-15,"Condo/Co-op","1954 Columbia Rd NW #109","Washington","DC",20009,180000,0,1,"Kalorama",280,NA,1927,64,643,202,"http://www.redfin.com/DC/Washington/1954-Columbia-Rd-NW-20009/unit-109/home/9999325","MRIS","DC9981485",38.9177942,-77.0452169,0.467754750098654
"11","PAST SALE",NA,"Condo/Co-op","4201 Cathedral Ave NW Apt 1218W","Washington","DC",20016,213500,0,1,"",555,NA,1960,NA,385,NA,"http://www.redfin.com/DC/Washington/4201-Cathedral-Ave-NW-20016/unit-1218W/home/9952839","","",38.9311324,-77.0837882,1.20364000572741
"12","PAST SALE",NA,"Condo/Co-op","1910 Kalorama Rd NW Apt 502","Washington","DC",20009,369000,0,1,"",479,NA,1923,NA,770,NA,"http://www.redfin.com/DC/Washington/1910-Kalorama-Rd-NW-20009/unit-502/home/45505209","","",38.9190923,-77.0455228,0.558242583563222
"13","PAST SALE",2017-08-18,"Condo/Co-op","1316 New Hampshire Ave NW #706","Washington","DC",20036,294900,0,1,"Central",468,NA,1918,61,630,193,"http://www.redfin.com/DC/Washington/1316-New-Hampshire-Ave-NW-20036/unit-706/home/9057996","MRIS","DC9978913",38.9078191,-77.0456381,0.226069743267919
"14","PAST SALE",2017-08-18,"Condo/Co-op","522 21st St NW #806","Washington","DC",20006,230000,0,1,"Foggy Bottom",474,NA,1989,61,485,465,"http://www.redfin.com/DC/Washington/522-21st-St-NW-20006/unit-806/home/10346750","MRIS","DC10004409",38.8967406,-77.0469994,0.360231318403347
"15","PAST SALE",2017-08-16,"Condo/Co-op","950 25th St NW Unit 401-N","Washington","DC",20037,160000,0,1,"Foggy Bottom",310,NA,1966,63,516,692,"http://www.redfin.com/DC/Washington/950-25th-St-NW-20037/unit-401-N/home/142724649","MRIS","DC10006421",38.901974,-77.0537004,0.17988162892486
"16","PAST SALE",2017-08-09,"Condo/Co-op","2939 Van Ness St NW #810","Washington","DC",20008,226000,0,1,"Van Ness",447,NA,1964,70,506,425,"http://www.redfin.com/DC/Washington/2939-Van-Ness-St-NW-20008/unit-810/home/9982587","MRIS","DC9954581",38.9443887,-77.0601806,0.279965791973978
"17","PAST SALE",2017-08-11,"Condo/Co-op","950 25th St NW Unit 304-S","Washington","DC",20037,193000,0,1,"Foggy Bottom",445,NA,1966,68,434,731,"http://www.redfin.com/DC/Washington/950-25th-St-NW-20037/unit-304-S/home/88621226","MRIS","DC10012591",38.901974,-77.0537004,0.17988162892486
"18","PAST SALE",2017-08-18,"Condo/Co-op","1301 20th St NW #801","Washington","DC",20036,255000,0,1,"Dupont",450,NA,1973,61,567,484,"http://www.redfin.com/DC/Washington/1301-20th-St-NW-20036/unit-801/home/9060346","MRIS","DC9978038",38.9075853,-77.0445591,0.239415530782761
"19","PAST SALE",2017-07-28,"Condo/Co-op","1801 Clydesdale Pl NW #621","Washington","DC",20009,185000,0,1,"Mount Pleasant",488,NA,1950,82,379,357,"http://www.redfin.com/DC/Washington/1801-Clydesdale-Pl-NW-20009/unit-621/home/39591905","MRIS","DC9979196",38.9262558,-77.0434453,0.534219067275647
"20","PAST SALE",2017-08-25,"Condo/Co-op","3217 Wisconsin Ave NW Unit 7D","Washington","DC",20016,227500,0,1,"Cleveland Park",400,NA,1988,54,569,409,"http://www.redfin.com/DC/Washington/3217-Wisconsin-Ave-NW-20016/unit-7D/home/9973748","MRIS","DC10003538",38.9331884,-77.0721466,0.743616431678294
"21","PAST SALE",2017-07-25,"Condo/Co-op","3245 K St NW Unit S50","Washington","DC",20007,68000,0,NA,"Georgetown",NA,NA,1980,85,NA,24,"http://www.redfin.com/DC/Washington/3245-K-St-NW-20007/unit-S50/home/9923605","MRIS","DC9946613",38.9032404,-77.0643063,0.604729017051435
"22","PAST SALE",2017-08-11,"Condo/Co-op","777 7th St NW #1001","Washington","DC",20001,347000,0,1,"Central",615,NA,2005,68,564,452,"http://www.redfin.com/DC/Washington/777-7th-St-NW-20001/unit-1001/home/10193267","MRIS","DC10030463",38.899494,-77.0217858,0.0586383001329145
"23","PAST SALE",2017-07-28,"Condo/Co-op","1311 Delaware Ave SW Unit S727","Washington","DC",20024,170000,0,1,"Rla (sw)",470,NA,1962,82,362,534,"http://www.redfin.com/DC/Washington/1311-Delaware-Ave-SW-20024/unit-S-727/home/79018775","MRIS","DC9978457",38.8739553,-77.0155098,0.202976147902019
